City;adm1_code;Afghan;Iranian;Iraqi;Somali;Others;Total
Istanbul;TUR-2265;667;626;7682;59;1074;10108
Manisa;TUR-2277;8520;1391;1358;0;280;11549
Samsun;TUR-2296;1447;85;7173;1;37;8743
Zonguldak;TUR-3010;4557;341;3141;4;378;8421
Denizli;TUR-2274;2154;3766;413;1;174;6508
Kutahya;TUR-2276;620;298;4627;139;144;5828
Konya;TUR-3011;1883;111;2392;495;767;5648
Karabuk;TUR-5520;1641;112;3739;2;52;5546
Isparta;TUR-2275;1320;738;1644;1265;566;5533
Balikesir;TUR-2238;766;354;2966;219;811;5116
Cankiri;TUR-3009;485;240;4164;12;196;5097
Eskisehir;TUR-2269;324;1099;3166;125;279;4993
Nigde;TUR-3020;598;1319;2739;46;185;4887
Kayseri;TUR-2287;427;2075;1711;5;76;4294
Mardin;TUR-3041;158;5;4390;0;7;4560
Bolu;TUR-2268;387;210;3891;0;204;4692
Yalova;TUR-5518;618;861;2653;2;402;4536
Yozgat;TUR-3026;571;251;3561;1;38;4422
Canakkale;TUR-2239;2442;317;264;3;993;4019
Diyarbakir;TUR-2309;0;0;4002;0;0;4002
Amasya;TUR-2290;98;46;3784;0;21;3949
Bilecik;TUR-2263;570;182;2175;4;778;3709
Burdur;TUR-2273;888;1203;150;1189;244;3674
Kastamonu;TUR-2270;566;512;2168;11;269;3526
SAKARYA;TUR-2267;473;255;2506;0;187;3421
Corum;TUR-2291;56;143;3184;0;21;3404
Ordu;TUR-2293;129;82;3165;1;37;3414
Sivas;TUR-2295;2656;363;236;3;135;3393
Kirikkale;TUR-3019;1128;344;1824;0;60;3356
DUZCE;TUR-5519;321;220;2675;1;106;3323
Aksaray;TUR-3021;1289;221;1361;290;96;3257
Afyon;TUR-2272;123;58;2903;9;23;3116
Kirsehir;TUR-2286;394;99;2488;0;16;2997
Karaman;TUR-3012;1630;106;900;52;273;2961
Nevsehir;TUR-2288;537;1257;1092;1;35;2922
Mersin;TUR-2285;835;115;441;141;722;2254
Erzincan;TUR-2300;2462;84;253;0;19;2818
Gaziantep;TUR-3016;554;55;638;0;295;1542
Ankara;TUR-3008;298;171;1572;92;75;2208
Tokat;TUR-2297;738;43;1984;0;12;2777
USAK;TUR-3014;883;164;1486;0;21;2554
Adana;TUR-3018;633;454;691;1;131;1910
Trabzon;TUR-2302;1722;79;313;0;36;2150
BATMAN;TUR-3042;806;6;1039;0;8;1859
Sinop;TUR-2294;193;52;1518;0;10;1773
Van;TUR-3048;696;624;20;10;28;1378
GÙmÙshane;TUR-3031;879;39;328;7;113;1366
MALATYA;TUR-2284;1222;40;24;0;13;1299
Erzurum;TUR-2299;1147;101;29;0;26;1303
Sirnak;TUR-3044;77;11;1176;0;0;1264
Giresun;TUR-2292;887;42;326;0;10;1265
Elazig;TUR-2282;863;106;235;7;20;1231
Hatay;TUR-2289;20;0;16;1;49;86
Izmir;TUR-2230;79;98;311;16;35;539
Siirt;TUR-3043;203;2;673;1;3;882
Kahramanmaras;TUR-2283;406;41;59;0;3;509
Sanliurfa;TUR-3017;39;1;409;0;11;460
Agri;TUR-2307;632;36;26;0;18;712
Kars;TUR-3040;607;1;11;0;4;623
Bursa;TUR-2264;0;2;11;0;12;25
BAYBURT;TUR-3032;447;6;10;0;15;478
Artvin;TUR-2298;89;23;88;0;15;215
Kilis;TUR-4841;0;0;0;0;43;43
ARDAHAN;TUR-4839;109;1;24;0;2;136
Edirne;TUR-2240;59;16;9;0;10;94
Kirklareli;TUR-2241;54;4;3;0;2;63
Adiyaman;TUR-2281;9;3;41;0;0;53
Tekirdag;TUR-2242;38;0;4;0;7;49
Osmaniye;TUR-4842;0;0;0;0;0;0
IGDIR;TUR-4840;19;4;8;0;4;35
Antalya;TUR-2271;0;8;2;0;2;12
Hakkari;TUR-3047;11;0;7;0;0;18
Kocaeli;TUR-2266;1;3;2;0;0;6
Mus;TUR-2310;0;0;10;0;0;10
Aydin;TUR-2229;0;2;0;0;1;3
Bingol;TUR-2308;0;0;0;0;1;1
Mugla;TUR-2278;0;0;0;0;1;1
Grand Total;;59020;21790;110383;4225;10741;204928